日期,開盤,最高,最低,收盤,漲跌
2026/2/11,33086.15,33707.83,33071.67,33605.71,532.74
2026/2/10,32439.71,33072.97,32439.71,33072.97,668.35
2026/2/9,31956.21,32666.05,31956.21,32404.62,621.7
2026/2/6,31746.44,31842.62,31164.28,31782.92,-18.35
2026/2/5,32241.64,32241.64,31769.08,31801.27,-488.54
2026/2/4,32196.57,32380,31942.28,32289.81,94.45
2026/2/3,31737.66,32293.83,31737.66,32195.36,571.33
2026/2/2,32008.46,32008.46,31359.95,31624.03,-439.72
2026/1/30,32555.52,32555.52,32004.96,32063.75,-472.52
2026/1/29,32828.02,32996.03,32472.45,32536.27,-267.55
2026/1/28,32381.76,32803.82,32381.76,32803.82,485.9
2026/1/27,32095.08,32428.17,32095.08,32317.92,253.4
2026/1/26,32002.56,32196.75,31989.86,32064.52,103.01
2026/1/23,31788.77,32042.44,31693.15,31961.51,215.43
2026/1/22,31371.13,31890.62,31371.13,31746.08,499.71
2026/1/21,31749.14,31749.14,31200.76,31246.37,-513.62
2026/1/20,31584.34,31759.99,31340.1,31759.99,120.7
2026/1/19,31336.77,31827.39,31285.53,31639.29,230.59
2026/1/16,30844.63,31475.22,30844.63,31408.7,598.12
2026/1/15,30746.98,30877.31,30663.87,30810.58,-131.2
2026/1/14,30742.53,30994.81,30742.53,30941.78,234.56
2026/1/13,30630.86,30973.85,30529.33,30707.22,139.93
2026/1/12,30472.7,30681.99,30472.7,30567.29,278.33
2026/1/9,30370.45,30500.42,29925.49,30288.96,-71.59
2026/1/8,30330.58,30593.49,30268.36,30360.55,-74.92
2026/1/7,30412.32,30570.26,30306.16,30435.47,-140.83
2026/1/6,29933.65,30576.3,29933.65,30576.3,471.26
2026/1/5,29779.7,30339.32,29779.7,30105.04,755.23
2026/1/2,29016.68,29363.43,29007.75,29349.81,386.21
2025/12/31,28723.49,29009.81,28687.9,28963.6,256.47
2025/12/30,28723.82,28833.03,28553.64,28707.13,-103.76
2025/12/29,28662.79,28841.64,28595.35,28810.89,254.87
2025/12/26,28443.48,28590.91,28404.34,28556.02,184.04
2025/12/24,28383.61,28486.38,28280.59,28371.98,61.51
2025/12/23,28253.14,28350.37,28212.84,28310.47,160.83
2025/12/22,27986.66,28168.75,27986.66,28149.64,453.29
2025/12/19,27685.74,27869.78,27672.05,27696.35,227.82
2025/12/18,27447.45,27569.44,27350.77,27468.53,-56.64
2025/12/17,27596.18,27780.69,27469.6,27525.17,-11.49
2025/12/16,27721.1,27740.66,27355.67,27536.66,-330.28
2025/12/15,28119.79,28119.79,27684.87,27866.94,-331.08
2025/12/12,28097.54,28272.06,28071.34,28198.02,173.27
2025/12/11,28385.23,28568.02,27984.19,28024.75,-375.98
2025/12/10,28190.76,28417.09,28190.76,28400.73,218.13
2025/12/9,28364.04,28390.24,28157.27,28182.6,-121.18
2025/12/8,28034,28303.78,28026.39,28303.78,322.89
2025/12/5,27796.43,27980.89,27738.5,27980.89,185.18
2025/12/4,27773.42,27880.23,27636.63,27795.71,2.67
2025/12/3,27605.63,27847.67,27605.63,27793.04,228.77
2025/12/2,27550.35,27741.89,27477.1,27564.27,221.74
2025/12/1,27674.16,27697.06,27342.53,27342.53,-283.95
2025/11/28,27566.12,27796.9,27566.12,27626.48,71.95
2025/11/27,27517.24,27659.06,27436.59,27554.53,144.99
2025/11/26,27063.17,27409.54,27063.17,27409.54,497.37
